"FAT_YEARMONTH","FAT_DAY","FAT_TIME","FATALITY_ID","EVENT_ID","FATALITY_TYPE","FATALITY_DATE","FATALITY_AGE","FATALITY_SEX","FATALITY_LOCATION","EVENT_YEARMONTH"
199601,5,0,1001409,5556653,"D","01/05/1996 12:00:00",19,"M","Other",199601
199601,29,0,1001275,5548075,"D","01/29/1996 12:00:00",75,"F","Outside/Open Areas",199601
199601,19,0,1001579,5569986,"D","01/19/1996 12:00:00",54,"M","Mobile/Trailer Home",199601
199601,1,0,1001537,5574628,"D","01/01/1996 12:00:00",37,"M","Long Span Roof",199601
199601,18,0,1001538,5574649,"D","01/18/1996 12:00:00",23,"F","Vehicle/Towed Trailer",199601
199601,8,0,1001566,5569356,"D","01/08/1996 12:00:00",47,"M","Outside/Open Areas",199601
199601,7,0,1001567,5569363,"D","01/07/1996 12:00:00",76,"M","Outside/Open Areas",199601
199601,19,0,1001568,5569800,"D","01/19/1996 12:00:00",62,"F","Vehicle/Towed Trailer",199601
199601,19,0,1001569,5569804,"D","01/19/1996 12:00:00",17,"M","Outside/Open Areas",199601
199601,21,0,1001570,5569817,"D","01/21/1996 12:00:00",32,"M","Vehicle/Towed Trailer",199601
199601,19,0,1001571,5569819,"D","01/19/1996 12:00:00",34,"F","Vehicle/Towed Trailer",199601
199601,19,0,1001572,5569819,"D","01/19/1996 12:00:00",35,"F","Vehicle/Towed Trailer",199601
199601,19,0,1001573,5569819,"D","01/19/1996 12:00:00",38,"M","Vehicle/Towed Trailer",199601
199601,19,0,1001574,5569819,"D","01/19/1996 12:00:00",8,"M","Vehicle/Towed Trailer",199601
199601,19,0,1001575,5569986,"D","01/19/1996 12:00:00",77,"M","Vehicle/Towed Trailer",199601
199601,19,0,1001576,5569986,"D","01/19/1996 12:00:00",75,"F","Vehicle/Towed Trailer",199601
199601,19,0,1001577,5569986,"D","01/19/1996 12:00:00",68,"M","Vehicle/Towed Trailer",199601
199601,19,0,1001578,5569986,"D","01/19/1996 12:00:00",38,"F","Mobile/Trailer Home",199601
199601,19,0,1001580,5569986,"D","01/19/1996 12:00:00",59,"F","Vehicle/Towed Trailer",199601
199601,19,0,1001581,5569989,"D","01/19/1996 12:00:00",75,"M","Vehicle/Towed Trailer",199601
199601,11,0,1001739,5586728,"D","01/11/1996 12:00:00",33,"M","Outside/Open Areas",199601
199601,18,0,1001167,5538189,"D","01/18/1996 12:00:00",52,"M","Permanent Home",199601
199601,26,0,1001168,5538446,"D","01/26/1996 12:00:00",84,"M","Outside/Open Areas",199601
199601,29,0,1001169,5538447,"D","01/29/1996 12:00:00",57,"M","Outside/Open Areas",199601
199601,2,0,1001172,5536209,"D","01/02/1996 12:00:00",20,"F","Vehicle/Towed Trailer",199601
199601,12,0,1001173,5536955,"D","01/12/1996 12:00:00",8,"M","In Water",199601
199601,12,0,1001174,5536955,"D","01/12/1996 12:00:00",11,"M","In Water",199601
199601,7,0,1001175,5537464,"D","01/07/1996 12:00:00",24,"M","Other",199601
199601,10,0,1001177,5538285,"D","01/10/1996 12:00:00",11,"M","Vehicle/Towed Trailer",199601
199601,10,0,1001178,5538285,"D","01/10/1996 12:00:00",8,"M","Vehicle/Towed Trailer",199601
199601,18,0,1001179,5538500,"D","01/18/1996 12:00:00",44,"M","Vehicle/Towed Trailer",199601
199601,18,0,1001180,5535993,"D","01/18/1996 12:00:00",48,"M","Outside/Open Areas",199601
199601,9,0,1001183,5538088,"D","01/09/1996 12:00:00",89,"M","Outside/Open Areas",199601
199601,18,0,1001184,5538297,"D","01/18/1996 12:00:00",88,"M","Outside/Open Areas",199601
199601,30,0,1001185,5538557,"D","01/30/1996 12:00:00",85,"M","Outside/Open Areas",199601
199601,30,0,1001186,5538562,"D","01/30/1996 12:00:00",31,"M","Outside/Open Areas",199601
199602,1,0,1001252,5542840,"D","02/01/1996 12:00:00",60,"M","Outside/Open Areas",199602
199602,4,0,1001253,5542841,"D","02/04/1996 12:00:00",72,"M","Outside/Open Areas",199602
199602,2,0,1001254,5539655,"D","02/02/1996 12:00:00",63,"M","Outside/Open Areas",199602
199602,3,0,1001255,5539670,"D","02/03/1996 12:00:00",42,"M","Outside/Open Areas",199602
199602,2,0,1001259,5548992,"D","02/02/1996 12:00:00",69,"M","Permanent Home",199602
199602,4,0,1001276,5548494,"D","02/04/1996 12:00:00",77,"F","Outside/Open Areas",199602
199602,4,0,1001277,5548505,"D","02/04/1996 12:00:00",67,"M","Permanent Home",199602
